Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST - Login (Login VALIDO 200 OK),1,479,479,479,479,479,479,479,0.000%,2.08768,1.47,0.47
POST - Login (Login INVALIDO 401 OK),1,159,159,159,159,159,159,159,100.000%,6.28931,3.14,1.41
GET - Listar Usuarios (STRINGS Vazias_Adm TRUE - Lista Usuarios 200 OK),1,647,647,647,647,647,647,647,0.000%,1.54560,426.99,0.33
GET - Listar Usuarios (STRINGS Vazias_Adm FALSE - Lista Usuarios 200 OK),1,195,195,195,195,195,195,195,0.000%,5.12821,154.48,1.00
GET - Listar Usuarios (STRINGS_ADM Vazios - Lista Usuarios 200 OK),1,335,335,335,335,335,335,335,0.000%,2.98507,913.12,0.59
GET - Listar Usuarios (ID Valido_ADM TRUE - Lista Usuarios 200 OK),1,154,154,154,154,154,154,154,0.000%,6.49351,3.15,1.41
GET - Listar Usuarios (ID Valido_ADM FALSE - Lista Usuarios 200 OK),1,160,160,160,160,160,160,160,0.000%,6.25000,3.03,1.40
GET - Listar Usuarios (ID Valido_ADM Vazio - Lista Usuarios 200 OK),1,155,155,155,155,155,155,155,0.000%,6.45161,3.12,1.32
GET - Listar Usuarios (NOME Valido_ADM TRUE - Lista Usuarios 200 OK),1,211,211,211,211,211,211,211,0.000%,4.73934,659.24,1.00
GET - Listar Usuarios (NOME Valido_ADM FALSE - Lista Usuarios 200 OK),1,161,161,161,161,161,161,161,0.000%,6.21118,3.01,1.32
GET - Listar Usuarios (NOME Valido_ADM Vazio - Lista Usuarios 200 OK),1,157,157,157,157,157,157,157,0.000%,6.36943,4.40,1.24
GET - Listar Usuarios (EMAIL Valido_ADM TRUE - Lista Usuarios 200 OK),1,159,159,159,159,159,159,159,0.000%,6.28931,3.05,1.47
GET - Listar Usuarios (EMAIL Valido_ADM FALSE - Lista Usuarios 200 OK),1,156,156,156,156,156,156,156,0.000%,6.41026,3.10,1.50
GET - Listar Usuarios (EMAIL Valido_ADM Vazio - Lista Usuarios 200 OK),1,156,156,156,156,156,156,156,0.000%,6.41026,3.10,1.36
GET - Listar Usuarios (PASSWORD Valido_ADM TRUE - Lista Usuarios 200 OK),1,198,198,198,198,198,198,198,0.000%,5.05051,707.72,1.10
GET - Listar Usuarios (PASSWORD Valido_ADM FALSE - Lista Usuarios 200 OK),1,159,159,159,159,159,159,159,0.000%,6.28931,3.05,1.38
GET - Listar Usuarios (PASSWORD Valido_ADM Vazio - Lista Usuarios 200 OK),1,223,223,223,223,223,223,223,0.000%,4.48430,611.73,0.88
POST - Cadastra Usuario Random (Cadastro 200 OK),1,161,161,161,161,161,161,161,0.000%,6.21118,3.28,1.77
POST - Cadastra Usuario (Cadastro Email em Uso 400 OK),1,155,155,155,155,155,155,155,0.000%,6.45161,3.40,1.86
GET - Buscar Usuario ID (ID Valido - Usuario Encontrado 200 OK),1,154,154,154,154,154,154,154,0.000%,6.49351,4.48,1.33
GET - Buscar Usuario ID (ID Invalido - Usuario Nao Encontrado 400 OK ),1,158,158,158,158,158,158,158,100.000%,6.32911,3.13,0.82
DELETE - Excluir Usuario (ID Valido - Registro Excluido 200 OK),1,155,155,155,155,155,155,155,100.000%,6.45161,3.91,1.51
DELETE - Excluir Usuario (ID Valido - Nao e possivel Excluir 405),1,160,160,160,160,160,160,160,100.000%,6.25000,3.78,1.46
PUT - Editar Usuario (ID Valido_EMAIL Alterado - Registro Alterado com Sucesso 200 OK),1,157,157,157,157,157,157,157,0.000%,6.36943,3.36,2.13
PUT - Editar Usuario (ID Valido_EMAIL Alterado - Novo Cadastro Realizado 201 OK),1,158,158,158,158,158,158,158,0.000%,6.32911,3.34,2.10
PUT - Editar Usuario (ID Valido_STRINGS Alteradas_EMAIL Existente - Email Ja Cadastrado 400 OK),1,160,160,160,160,160,160,160,0.000%,6.25000,3.30,2.06
TOTAL,26,203,159,223,479,647,154,647,15.385%,4.53831,181.31,1.05
